restaurant_id,restaurant_name,city,cuisine,total_reviews,new_acct_component,spike_component,velocity_component,diversity_component,fraud_risk_score
wSAGILK2CFbq5BVZ5D67-A,Adega,Cleveland,Mediterranean,136,0.0,100.0,8.2,0.0,31.6
1veVZUawy7IhIc5oDpRRQA,Slyman's Restaurant,Cleveland,Sandwiches,362,0.0,100.0,5.7,0.0,31.1
JkQSLe_rBftbTJdZuQFlSw,Chinato,Cleveland,Italian,253,0.0,100.0,5.7,0.0,31.1
-F0B5F1YLx7093otwgboxw,Wild Eagle Saloon,Cleveland,Other,35,0.0,100.0,4.9,0.0,31.0
9bxrdL-pQg6SVMFmDcg1ow,Rising Star Coffee Roasters,Cleveland,Other,79,0.0,100.0,4.8,0.0,31.0
APPZiUz_CEvR_--qY-tbig,Pacific East Japanese Restaurant,Cleveland Heights,Japanese,299,0.0,100.0,4.3,0.0,30.9
haGstZfcH0IeRPncH2oFPQ,Cha Spirits & Pizza Kitchen,Cleveland,Pizza,72,0.0,100.0,4.4,0.0,30.9
_KD8Fua-jFlEXHCwVTY-cQ,The Standard,Cleveland,Other,89,0.0,100.0,4.1,0.0,30.8
2xcnolaD9e6voXJnrbu_Hg,B.A. Sweetie Candy,Cleveland,Other,49,0.0,100.0,3.3,0.0,30.7
XcQKsEUlh1W0R4iXbTA1Yg,Dervish Grill Tremont,Cleveland,Mediterranean,49,0.0,100.0,3.7,0.0,30.7
Y1x-DOdfvlIGxVzDXmd-eg,Winking Lizard Tavern,Cleveland,Other,101,0.0,100.0,3.5,0.0,30.7
ZPAkg2phFo_p3U-QjvHVPw,Mama Santa's,Cleveland,Pizza,222,0.0,100.0,3.3,0.0,30.7
-_DxZ8gKU50sfuZEu4ypKg,Saigon Restaurant and Bar,Cleveland,Thai,165,0.0,100.0,3.0,0.0,30.6
-dFfucHmOtgDmDneps-mgA,Mallorca,Cleveland,Seafood,178,0.0,100.0,2.8,0.0,30.6
1Z6YrdtjD6hNzZRYpuNEsA,Rising Star Coffee Roasters,Cleveland,Other,31,0.0,100.0,3.1,0.0,30.6
OOXUDZVOREgjwrLiwr3Spg,The Corner Alley at Uptown,Cleveland,Italian,42,0.0,100.0,2.8,0.0,30.6
TKaND6oV1n2ylnCYoAfoag,La Plaza Supermarket,Cleveland,Mexican,119,0.0,100.0,3.2,0.0,30.6
Tm2dKN_-DCdZfF2xMWrX7w,Siam Cafe,Cleveland,Seafood,183,0.0,100.0,2.8,0.0,30.6
tulUhFYMvBkYHsjmn30A9w,Hot Sauce Williams Barbecue Restaurant,Cleveland,Barbeque,154,0.0,100.0,2.9,0.0,30.6
CikuTcu41X3UZsp8YjCjSQ,Vita Urbana,Cleveland,Other,17,0.0,100.0,2.7,0.0,30.5
cUAulV1C6H-eCNdgXTC_5w,A Cookie & A Cupcake Boutique,Cleveland,Other,96,0.0,100.0,2.3,0.0,30.5
D3MfMrIoNV4_aXPj0bi1BQ,Lopez SouthWest Kitchen & Tequila Saloon,Cleveland Heights,Mexican,159,0.0,100.0,2.6,0.0,30.5
EjBZKPyq_G9WMO01N8DnDw,Winking Lizard Tavern,Cleveland,Burgers,172,0.0,100.0,2.4,0.0,30.5
GQRql4WEd_tdMXJDzb7WIA,McNultys Bier Markt,Cleveland,Other,155,0.0,100.0,2.5,0.0,30.5
kVEjTbR6rJgfTnq_h7kLPA,Erie Island Coffee Company,Cleveland,Other,118,0.0,100.0,2.4,0.0,30.5
nIJr76IGIGS3nkmieY3Vow,Trattoria Roman Gardens,Cleveland,Italian,149,0.0,100.0,2.6,0.0,30.5
QJ1YpQLVuentjgTQqNqqpw,XO Prime Steaks,Cleveland,Steakhouses,153,0.0,100.0,2.5,0.0,30.5
T2JwvV8hH15KbnS1OCnrJg,A Thai Restaurant,Cleveland,Thai,65,0.0,100.0,2.4,0.0,30.5
Tal9LqH3fvSDiF_-YDnfEg,Indian Delight,Cleveland,Indian,103,0.0,100.0,2.4,0.0,30.5
ToHKLIjR05Rz9boWvmWaPA,Corner Alley,Cleveland,Other,149,0.0,100.0,2.6,0.0,30.5
uRbrfI6DW0hn3Vj0tyjycA,V's Gourmet,Cleveland,Fast Food,40,0.0,100.0,2.3,0.0,30.5
wbGOeoSttZguRXldqaiBVA,Zanzibar Soul Fusion,Cleveland,Other,63,0.0,100.0,2.7,0.0,30.5
wmstf9dw0-kN3YThIxx8eQ,Stone Mad Pub,Cleveland,Other,126,0.0,100.0,2.4,0.0,30.5
-Mm4YqCDM5CqSDDh7HI6Zw,Crust,Cleveland,Pizza,23,0.0,100.0,1.9,0.0,30.4
2JeciNHrJE_tI-o2tUCu5w,Ty Fun Thai Bistro,Cleveland,Thai,122,0.0,100.0,2.0,0.0,30.4
C7dj06ZUM-5P-_DMLckcVA,Lion's Pub,Cleveland,Vegan,45,0.0,100.0,2.0,0.0,30.4
cXyUYLY2xi4HpqZqjCQmfQ,Ironwood Cafe,Cleveland,Barbeque,24,0.0,100.0,2.0,0.0,30.4
DhD1sFqgtjg1rsIWuIeTng,Palookaville Chili,Cleveland,Other,30,0.0,100.0,1.9,0.0,30.4
eBoRFMm14n6Bte5vJIaeSg,Buffalo Wild Wings,Cleveland,Other,40,0.0,100.0,2.1,0.0,30.4
IzEHkReZTds6ipOaCq2G6g,House of Blues - Music Venue,Cleveland,Other,153,0.0,100.0,2.2,0.0,30.4
l6M8lNhCPV4ILEG_q0QC5A,Walmart Supercenter,Cleveland,Other,96,0.0,100.0,1.8,0.0,30.4
MgwhgGo313gLxZ_eM9izCg,Lilly Handmade Chocolates,Cleveland,Other,112,0.0,100.0,2.2,0.0,30.4
NgioF61Bs9YNLBg0o9I-Uw,BD's Mongolian Grill,Cleveland Heights,Other,125,0.0,100.0,2.0,0.0,30.4
oHeiAs-mnDJU1_4BD8_5Dg,Se�or Tequila Mexican Grill & Cantina,Cleveland,Mexican,44,0.0,100.0,2.2,0.0,30.4
pGu7YwnkIueer-3r3pkQdg,Rascal House,Cleveland,Pizza,38,0.0,100.0,2.1,0.0,30.4
qGJZ1C3rUjqZ6LAtNMjQtw,Aladdin's Eatery,Cleveland,Vegetarian,120,0.0,100.0,1.9,0.0,30.4
tnd0GWjSEntWbG6wpLu61g,Cuisine of India,Cleveland,Indian,84,0.0,100.0,1.8,0.0,30.4
WHlbUb5SNdXDKYfkNDo89A,Pickwick & Frolic Restaurant & Club,Cleveland,Other,124,0.0,100.0,1.9,0.0,30.4
