restaurant_id,restaurant_name,city,cuisine
1cLXGXThDYZ5WK_KpBLtkw,Koko Bakery,Cleveland,Other
Pawavw9U8rjxWVPU-RB7LA,Richie Chan's Chinese Restaurant,Cleveland,Chinese
wkhxaIt6S9bQ0twAD9Svpw,Giuseppes Pizza & Subs,Cleveland,Pizza
2xcnolaD9e6voXJnrbu_Hg,B.A. Sweetie Candy,Cleveland,Other
VUb97h3RTg6InKdfgB49Bw,Happy Dog at the Euclid Tavern,Cleveland,Other
CtYWpX_cy1YdZgoKtS0Tqg,Happys Pizza,Cleveland,Pizza
n8GCGa5gX17Ibix5VsGMuw,Popeyes Louisiana Kitchen,Cleveland,Fast Food
8FZftD3Y5jQ2R44EDBqhlA,Cafe Bon Appetit,Cleveland,Sandwiches
WpkuAJfHSIgjppRC-Wnxgg,Brio Tuscan Grille,Cleveland,Italian
YNI26xBkdOzI1TMGmIcEaw,Taco Bell Cantina,Cleveland,Mexican
MTsIckdo3_uKuqk3B4zuKA,Cleveland Pickle,Cleveland,Sandwiches
a70yZ7lONw4sd128WMjPNg,Cone Heads,Cleveland,Other
IeMtrPFpMzcUUCWw1q1yAA,Becker's Donuts & Bakery,Cleveland,Other
UgWVMUWFrr6bt3NSfuKrGQ,Guys Pizza Co,Cleveland Heights,Pizza
TW6A7M0j0R9hp1zYpxz2FQ,District,Cleveland,Other
uYGccFiK5EdKBV0W33eGoA,On Air Studio,Cleveland,Other
GYHaejDRFdUgyRm8X_g8rg,Shay's,Cleveland,Other
eUrFjzkC2qcX6Hwh1RN5VQ,Aldi,Cleveland,Other
VGRn5KgYKMkqdIKtBUzQQA,Wahlburgers,Cleveland,Burgers
1veVZUawy7IhIc5oDpRRQA,Slyman's Restaurant,Cleveland,Sandwiches
-Eu04UHRqmGGyvYRDY8-tg,West Side Market,Cleveland,Other
N9qQPezv9swXFLPgoMdhOg,IHOP,Cleveland,Other
10Jk5ilimXrfAq8JJ1gISg,Saigon Grille,Cleveland,Vietnamese
pcs7jXj_mvuLQq6DQ3Ggcg,Seti's Polish Boys,Cleveland,Fast Food
B04F5Jvb4JsZdr0Sc9mbgA,Bob Evans,Cleveland,Other
knJh7agyWMdPyndI9dURjw,Zócalo Tequilería,Cleveland,Mexican
fSZcgCRJb7gqd3uplDozBw,Dave's Supermarket,Cleveland,Other
k9vukbB0xYq_FC9KpktnbQ,811 Kitchen Bar Lounge,Cleveland,Other
SZbn2cSLGsAmvliMzsvXOw,Popeyes Louisiana Kitchen,Cleveland,Fast Food
blU2m56zkJc0SucLnbc4vw,Vine and Bean,Cleveland,Other
JftoP9r6TT98v83hfY9RZw,Mandarin House Chinese Restaurant,Cleveland,Chinese
gk5zSldov0A3do1q8kLUDw,Lancer's Bar & Lounge,Cleveland,Steakhouses
6WdKJJbK6EC5R8PKGWMsng,Katherine's Family Restaurant,Cleveland,Other
KRM-JflDiqIpJUToNQc7pw,Larchmere Tavern,Cleveland,Other
Ywdy4YARQK1ZWOCDzZDi-w,Sarava At Shaker Square,Cleveland,Steakhouses
OERShuAgSxyjmXJ8IwT2zA,Boston Market,Cleveland,Other
hmfAdo6LuVOvBLiu75C8ZA,Luca Italian Cuisine,Cleveland,Italian
oVZsUPIMdS8Vk7Jip5l0_g,Mitchell's Homemade Ice Cream,Cleveland,Other
cdsxkycC_xrXlOdsm5yZUw,Nunzio's Pizzeria,Cleveland,Pizza
wdYEC6DIO6O4d-ouB72x9g,Dunkin' Donuts,Cleveland,Other
kG3TJsJvaDHF3csp0dRDYg,Dairy King,Cleveland,Other
XUA7xA7myMaCuN6G3xYdIA,Number One Pho,Cleveland,Vietnamese
mo78R4hiF5JDcxpnLljEXg,Georgio's Oven Fresh Pizza,Cleveland,Pizza
J1hR6fcmGWUACBXQVQkhjw,Mertie's Hungarian Strudel Shop,Cleveland,Other
YVkcZQEfH0qQRtN86CoSDQ,Batuqui,Cleveland,Other
nM-1hqurfwvlEyPOqXamjg,Liquid,Cleveland,Other
1FRf6pdx7AtI6HZXIlAZWA,Sunset Grill,Cleveland,Other
Sb2a5N9gSLICYkMVSjszsA,Wolfgang Puck Express,Cleveland,Pizza
MSc5pybthcvHa0g_lg5wuQ,Dewey's Pizza,Cleveland Heights,Pizza
Vkz7c2EDh7ydELK8Za0obQ,Arby's,Cleveland,Fast Food
bjbegGikWzSgeVsOJdE22g,Chili Peppers,Cleveland,Mexican
MNNplhqyy5APhT4ny4yAVA,Weenie a Go Go,Cleveland,Other
DYhGhT9bvsija74RVt8tCQ,Alex Bistro & Bar CLOSED,Cleveland,Mediterranean
oK_uwtOectm906rpUtHiug,China House,Cleveland,Chinese
GYMP2opfj0-dAf_3rWZEjA,Arabica,Cleveland,Other
E50mr3xobsahb77IBRwVTQ,Clifton Martini & Wine Bar,Cleveland,Other
DWeW4PKZQkXhgKdLtRsmFg,Michael's Bar & Grille,Cleveland,Other
GZlJDJhDlIy-Xj7ckfyJuw,Zeppe's Pizzeria,Cleveland,Pizza
Yyag9ZHs0hZ7UIGFC04Vqw,Now That's Class Lounge,Cleveland,Other
06DxO1hUPQJmtUzIbVNKwQ,Popeyes Louisiana Kitchen,Cleveland,Fast Food
IUldL6DNTst_wwDRUNrmMw,Taco Bell,Cleveland,Mexican
wT7Y-dJxyKIME09o37DE0A,Terrestrial Brewing Company,Cleveland,Other
1ktw2saTrIr_YJSxQjhnpg,Urban Kitchen & Deli,Cleveland,Delis
G5rqI8RjYa5Jkoo1lYbdPw,Marco's Pizza,Cleveland,Pizza
97V91GSG-OQvrvOc9GXoGA,Phusion Cafe,Cleveland,Chinese
7-K3HAcYkS92V0tdgmM2_A,Cedarland Express,Cleveland,Middle Eastern
DjF7FY3KU1MFE6l9W2A3cA,Souper Market,Cleveland,Vegetarian
LpQPDBgKh1nP-vLLzfsilg,C2,Cleveland,Mediterranean
f_vZiW020vjgySYwUUjZ7A,Subway,Cleveland,Fast Food
G9UlT-mBMdUwoUGCW405ow,Lago,Cleveland,Italian
d9sv7fexFJiChG9Xl0SP-A,Hot Sauce Williams Barbecue Restaurant,Cleveland,Barbeque
OiS6K4IvKwxIcWlKVywG_w,The Red Chimney,Cleveland,Other
IPF4KcnNTuITlyiaSooD4w,Tommy's Fairview Tavern,Cleveland,Other
VH2BjFjc9usDquDgoHhptA,Barrio,Cleveland,Mexican
KfiSiJZ73oO0TyJSsu851g,Bon Vivant,Cleveland,Diners
6J2yA7KwX9aU5lP5OneWfg,Dee's Old Brooklyn Diner,Cleveland,Diners
Nz7OzxE5Gp-yfb8-BAsy6w,Einstein Bros Bagels,Cleveland,Other
JkQSLe_rBftbTJdZuQFlSw,Chinato,Cleveland,Italian
r3lT2Qd80FXBoJKaVGY1Vw,Al's Deli,Cleveland,Middle Eastern
dCsW_fmSz_DiotoRIjh3jg,Darna Casablanca,Cleveland,Other
3Esl4FVI9Rzl_KSmIiMgaw,Jackie Chen Wok,Cleveland,Chinese
bsme1TUoEQt5EDF7O6HBrg,Dragon Light,Cleveland,Chinese
7tiobQOY3WLYYJl4uMEfrQ,Brickstone,Cleveland,Sandwiches
hkYRgPoWUQXJ8iHXSqvFZA,Pizza Pan,Cleveland,Pizza
n5S6BuEvl96RgCTafnYkvg,Papa Santi's,Cleveland,Pizza
NYOONIzD1T0yY9MuCglwLQ,Penn Station,Cleveland,Sandwiches
XYQx_ADdAYwfUEgN7eGmQA,Asian Grille,Cleveland,Thai
jjBTBObnHrY87qQIMybjzQ,Blue Jade,Cleveland,Chinese
vBMAdtlABJ1qb1ryaeOugA,Potbelly Sandwich Shop,Cleveland,Delis
8hwbcCNUv345Kw1xfOCcWg,Brown Derby,Cleveland,Steakhouses
29Qe90Oep3S1nc0iIOFckg,Cebars,Cleveland,Other
M4RwZL5bTBTwwbVcoaDbtw,Rowley Inn,Cleveland,Burgers
OzRGWW5R05kC0pQyUHX3lg,Guarino's Restaurant,Cleveland,Italian
Sja9RHq7FpwDcmfzbGfIxQ,Moriarty's Pub,Cleveland,Other
ZxYPXtZQ-6DFyl4VQkTELQ,Washington Place Bistro,Cleveland,Other
1FK7hoiPMPEPG0bRL4bi9Q,Tom's Seafood Restaurant,Cleveland,Seafood
zH3HFpkJZ9EmWMRhw1oypA,Superior Restaurant,Cleveland,Sandwiches
