user_id,account_age_days,total_reviews
om5ZiponkpRqUNa3pVPiRg,4731,2559
D-ydMTPGWXTVm4_jjp0k9g,2101,436
s8bVHRqx6cI8F8HGf3A_og,1475,32
YJLlvBPtvB8iJg8_WKxVzQ,1767,72
3lil3eH4skNVzI0y3vM72w,3244,208
aW2GmH0UZPvjpex1abJFvw,3769,63
7uEuP9iJEzCshvDKS7_n8w,2682,164
hRoTTa0uT_qLSLOaFJbP8g,1769,8
uXXc8Cv_71CUYJUMNX8wzA,1634,3
0cSk9KQ8vh9vhYyE0tgkvQ,2906,322
u53plO_OAFuXg81JqQ7gTw,1278,4
II7eBcZJRLwnFtuS6BtVRg,2249,211
AAad7NBwWz6cctsYGJ5JNA,1167,6
iNUH_vfvhzF7qxg9k0ofsQ,3112,8
aAe3zknnrbmsFax-DnfqEw,3441,119
vZMNPjs8K6ez-OLrFsjisw,1284,17
10sHU7STQqFpdMb0YErlsA,2432,97
EtFYEN0sbxkZOOt3DE7vWg,1249,340
4WZ-RUk5akPl5_4-tqqygw,2371,10
uVDJlnPJNx07_jDqI4jgYA,4152,555
3aBGR6pyzQM_646ZITODrA,3213,99
UyKVmpHUcsk_tjcspIWUow,2270,370
DGwncjO0h6WiBw5nsPDuZw,2755,4
RSAHZjr2yPZHZ-HhrgCrXQ,3684,160
8btjjkWbs_3PJxJnM0vGwg,2730,108
9i-JHoPnwlka_oVtslYOtA,2755,46
zW3PaTqR8fN-mnoYWk6Ymg,2321,170
22Y8hc4NYWPa2D6ffodddg,2351,507
_gpe_TTzOfZuKpIuzgArJA,2641,230
n6sxZHu9wmUVrJI6TDRiaA,1379,104
TjXqTqYOXAs8VKo_otj3lw,1095,210
U3JxaX3TySooO7JHndcnHQ,2671,51
vbzE5iqO5QNRVMUSoVzbiQ,2900,19
jq1OvVaYgpIwsLUZ_wWpXw,1875,24
igcnVpgAYC2EMP0sXZmuTQ,2990,245
3rySHX9WYEFOHp2ut85DWw,2825,19
vFhxrM_IYu7WBfI_2zFTRA,3444,59
kEEx6yEf81i9Wk5Ww1q6GA,3545,86
obchMlP16GFOlyCVp6Ruug,3426,127
xb9-sVUs7gDjDrnRNPSyag,2084,87
cUqU7UfSaamDg0L5TIJPRg,1447,199
pB0NlwWMqAsh_vkvDLqZXA,1595,18
et2aBoZ50-LFuTPLc7-FZQ,3132,19
gUK-y5XQmuBcyuVCGQ171Q,3251,32
l3J9MZ8K2GnrPOYR72aDcA,2376,1
NGnS6xFCefAB8JsuuNIIYw,2951,69
m_WWgiKOR8AFZ8O2hxpmuA,3973,44
b6QQV4qVoyQ4rCQpj1yj_g,2800,15
aLqp_fe64ugZFuwMpsXLiw,1633,249
rzq5nqG2NG13o3ISxJSrsQ,4726,543
wi3P_JxFvsAAe9l_HOGjPA,2008,41
ludX46lEfeQ8TuHsK0D9zw,2745,34
XvEOKQ0DcM1CkRPYA_3GJg,1479,4
moNUn1fGznbGCQSCOA9a4w,3025,80
QrcxvvqiJT3EyNJcQACVZw,1598,16
eR8fBtTjtFDuEwhxEYlEeg,1342,28
-S1dz92Q3RPfHomiqEeP8Q,2622,68
GfOy6HCVzMyCfDtuQ4czeQ,2349,14
QEpNF4Hag6_W9Stc-1Frvg,2149,666
DojaJuL75eaSataTeCgfmQ,3382,31
BuzxMxVrGBTsQyagoJHECQ,3177,244
sN_xx195g9EPCr7FNepwiQ,3133,85
yUyJf21ghBaVyyZHyOGGhQ,3415,69
h5e3Lt-rkc4l0rL_J31XHQ,3174,476
Udibu1rel-PEypMX-4TKdw,3359,293
r1jWEEScNKa-Xiw1Lad-rA,3766,11
vhwvwHcHNIK3YsoHTV2HNA,2927,39
rfCJYUTntqjo5Vq_vO3dJQ,1631,71
0wf8jAdiMelXNDUgTimhDw,2490,177
Vrsv7QSc8BG_1jKWDOpzVg,2585,113
H-rapYMiTuoXV4pONBq3AQ,1411,60
TWt_hQXobwWMPpQVoEvanA,2296,38
BO1A62kTQk4MfwZPOD9sKg,2932,45
DOKrvb9i0A3a-CpOxLqo4g,1864,637
N3W4nLE-nVKevzyI3_B4Fw,2719,866
KiaBUSCZA6Z5Y7XLx0HGMw,2730,56
2s0nmHmArQ4SYGDScOHu1g,2561,13
_K9sKlA4fVkWI4hyGSpoPA,2658,1110
W1p8_CFW5FISSihmQo5Qzw,2958,215
8xJAJ5UTOkQHyiUlUBiB7g,2755,28
PyFSjIJdgCMlou6rZoXohA,1085,5
mF5uDAgG4swaURbmpRsBXQ,2088,54
8DclOINSPldMTgiEbuCdoA,2246,146
hnPTPyh6wNfZe1GxOm21Gg,2243,694
